1. 지역별 외국인 신규 유입 현황,,,,,,
 ,,,,,,
(단위: 명),,,,,,
월,’26년 2월,’26년 3월,’26년 4월,’26년 5월,’26년 6월,전월 대비
시도,,,,,,
합계,"16,052","43,126","52,056","36,291","41,487",14.30%
경기도,"4,367","7,449","10,251","7,431","8,487",14.20%
서울특별시,"2,255","11,024","9,662","3,871","4,816",24.40%
경상북도,972,"2,272","4,718","4,429","4,034",-8.90%
강원특별자치도,235,"1,125","2,907","2,594","3,954",52.40%
충청남도,"1,078","3,197","4,565","3,409","3,948",15.80%
전북특별자치도,469,"2,064","3,209","2,415","3,745",55.10%
전라남도,"1,633","2,071","3,254","3,622","3,367",-7.00%
경상남도,"1,632","2,645","2,792","2,322","2,200",-5.30%
충청북도,507,"1,405","2,936","2,753","2,030",-26.30%
인천광역시,971,"1,599","1,530","1,182","1,258",6.40%
부산광역시,368,"2,909","2,886",610,"1,055",73.00%
대구광역시,245,"1,265",842,387,672,73.60%
제주특별자치도특별자치도,432,516,686,448,668,49.10%
대전광역시,178,"1,842",517,148,423,185.80%
광주광역시,241,913,812,219,407,85.80%
울산광역시,290,608,405,369,348,-5.70%
세종특별자치시,179,222,84,82,75,-8.50%
