2. 지역별 외국인 유출 현황,,,,,,
,,,,,,
(단위: 명),,,,,,
월,’26년 2월,’26년 3월,’26년 4월,’26년 5월,’26년 6월,전월 대비
시도,,,,,,
합계,"16,353","12,877","27,629","20,142","24,311",20.70%
서울특별시,"4,611","3,285","6,395","3,890","5,377",38.20%
경기도,"3,283","2,948","6,160","4,643","4,852",4.50%
경상남도,"1,020","1,040","1,891","2,246","2,846",26.70%
전라남도,"1,296",899,"1,811","2,347","2,187",-6.80%
충청남도,"1,207",837,"2,119","1,452","1,476",1.70%
경상북도,989,748,"1,715","1,108","1,402",26.50%
전북특별자치도,470,403,"1,090",603,"1,329",120.40%
인천광역시,723,500,"1,174",835,"1,005",20.40%
부산광역시,698,555,"1,322",626,774,23.60%
제주특별자치도특별자치도,284,306,446,534,615,15.20%
충청북도,413,341,911,502,574,14.30%
대전광역시,294,156,589,229,464,102.60%
강원특별자치도,262,193,488,248,386,55.60%
대구광역시,331,255,584,331,379,14.50%
광주광역시,246,204,547,230,292,27.00%
울산광역시,178,134,295,231,263,13.90%
세종특별자치시,48,73,92,87,90,3.40%
