6. 체류자격별 외국인 순증감(신규 유입-유출) 현황(’26년 6월),,,,,,,
,,,,,,,
(단위: 명),,,,,,,
 ,,,,,,,
시도,합계,재외동포,비전문취업,유학,영주,결혼이민,그 외
,,(F-4),(E-9),(D-2),(F-5),(F-6),체류자격
합계,"17,176","2,253","2,154","-4,623",-687,210,"17,869"
경기도,"3,635","1,051",961,-302,-303,117,"2,111"
강원특별자치도,"3,568",9,39,-137,-5,-5,"3,667"
경상북도,"2,632",36,114,-197,-10,-8,"2,697"
충청남도,"2,472",83,140,-95,-17,7,"2,354"
전북특별자치도,"2,416",11,76,-746,-3,-51,"3,129"
충청북도,"1,456",55,151,-112,-12,9,"1,365"
전라남도,"1,180",14,117,-41,-10,14,"1,086"
대구광역시,293,26,37,-82,-4,13,303
부산광역시,281,34,75,-279,-24,3,472
인천광역시,253,204,93,-207,-80,20,223
광주광역시,115,9,43,-106,-2,6,165
울산광역시,85,10,9,-28,-13,-6,113
제주특별자치도특별자치도,53,3,124,-8,-13,5,-58
세종특별자치시,-15, - ,12,-36,-1,-1,11
대전광역시,-41,18,7,-282,-5,7,214
서울특별시,-561,647,17,"-1,901",-171,60,787
경상남도,-646,43,139,-64,-14,20,-770
